order_id,order_date,customer_id,status
1,2025-08-27 10:49:00,466,Completed
2,2026-04-04 10:16:00,89,Pending
3,2026-06-01 08:53:00,298,Cancelled
4,2025-04-04 06:41:00,380,Completed
5,2025-02-25 10:53:00,430,Pending
6,2026-02-24 23:24:00,65,Completed
7,2025-10-28 12:53:00,126,Pending
8,2025-05-11 19:01:00,409,Cancelled
9,2025-12-02 01:02:00,63,Pending
10,2025-06-28 02:46:00,194,Pending
11,2025-01-24 18:43:00,269,Completed
12,2025-10-12 02:47:00,301,Completed
13,2025-07-24 03:36:00,155,Pending
14,2025-08-02 08:21:00,397,Cancelled
15,2025-08-13 06:41:00,158,Pending
16,2026-05-28 05:40:00,282,Completed
17,2025-12-17 20:15:00,164,Completed
18,2025-10-16 03:52:00,484,Pending
19,2025-04-11 10:42:00,453,Pending
20,2026-07-22 15:15:00,139,Pending
21,2026-01-03 07:19:00,296,Completed
22,2025-12-21 23:51:00,93,Completed
23,2025-06-07 11:53:00,433,Completed
24,2026-07-16 09:39:00,357,Completed
25,2026-05-31 17:10:00,54,Completed
26,2025-10-12 03:05:00,72,Completed
27,2026-02-27 01:27:00,56,Pending
28,2025-11-23 09:57:00,196,Cancelled
29,2025-12-02 10:11:00,30,Completed
30,2026-08-01 18:58:00,367,Completed
31,2025-12-07 04:08:00,428,Pending
32,2025-07-28 03:10:00,22,Completed
33,2025-07-05 02:51:00,73,Cancelled
34,2026-04-28 10:20:00,497,Completed
35,2026-03-12 09:04:00,292,Completed
36,2026-05-23 14:34:00,352,Pending
37,2025-01-05 20:43:00,139,Pending
38,2026-08-22 08:24:00,131,Cancelled
39,2025-05-02 17:46:00,302,Pending
40,2026-03-31 10:16:00,64,Completed
41,2025-04-16 06:46:00,360,Completed
42,2025-02-16 06:17:00,301,Completed
43,2026-06-16 18:14:00,451,Completed
44,2026-01-05 09:25:00,412,Cancelled
45,2026-02-12 14:52:00,345,Completed
46,2026-02-09 17:25:00,438,Completed
47,2025-05-05 18:07:00,76,Cancelled
48,2025-09-30 06:13:00,491,Pending
49,2025-02-06 16:00:00,396,Completed
50,2025-05-25 20:16:00,97,Pending
51,2025-12-22 23:57:00,500,Pending
52,2025-09-23 00:24:00,429,Cancelled
53,2025-05-18 04:00:00,361,Completed
54,2026-02-23 12:51:00,445,Completed
55,2026-03-24 17:16:00,383,Completed
56,2025-02-20 00:00:00,300,Pending
57,2025-12-31 06:57:00,379,Completed
58,2026-04-29 22:29:00,39,Pending
59,2025-05-13 17:42:00,77,Pending
60,2025-07-01 20:07:00,350,Completed
61,2026-04-09 16:33:00,331,Cancelled
62,2026-06-15 15:56:00,39,Completed
63,2025-01-19 02:58:00,227,Pending
64,2025-05-24 19:32:00,112,Pending
65,2026-02-09 07:06:00,477,Completed
66,2025-05-17 20:57:00,289,Completed
67,2025-02-03 04:28:00,314,Pending
68,2026-07-15 21:51:00,248,Completed
69,2025-01-14 12:36:00,164,Completed
70,2025-08-15 21:15:00,214,Completed
71,2026-04-02 13:36:00,139,Pending
72,2025-03-28 15:40:00,86,Completed
73,2026-03-30 05:51:00,165,Completed
74,2025-10-16 14:06:00,223,Cancelled
