product_id,sku,product_name,category,current_price,stock_qty
1,SKU-00001,Mock Product 1,Sports,19.64,536
2,SKU-00002,Mock Product 2,Groceries,1443.35,973
3,SKU-00003,Mock Product 3,Toys,2657.76,841
4,SKU-00004,Mock Product 4,Home & Garden,2348.56,978
5,SKU-00005,Mock Product 5,Electronics,4405.06,382
6,SKU-00006,Mock Product 6,Toys,518.13,860
7,SKU-00007,Mock Product 7,Sports,4731.63,414
8,SKU-00008,Mock Product 8,Sports,4283.46,843
9,SKU-00009,Mock Product 9,Toys,916.9,377
10,SKU-00010,Mock Product 10,Home & Garden,3381.16,228
11,SKU-00011,Mock Product 11,Books,3907.36,970
12,SKU-00012,Mock Product 12,Sports,1305.93,873
13,SKU-00013,Mock Product 13,Sports,2227.03,775
14,SKU-00014,Mock Product 14,Toys,2641.22,44
15,SKU-00015,Mock Product 15,Books,1839.9,99
16,SKU-00016,Mock Product 16,Sports,938.32,972
17,SKU-00017,Mock Product 17,Home & Garden,4936.1,191
18,SKU-00018,Mock Product 18,Books,4759.91,760
19,SKU-00019,Mock Product 19,Books,4954.02,643
20,SKU-00020,Mock Product 20,Groceries,3466.81,242
21,SKU-00021,Mock Product 21,Groceries,3692.52,824
22,SKU-00022,Mock Product 22,Clothing,3853.54,511
23,SKU-00023,Mock Product 23,Toys,4610.39,747
24,SKU-00024,Mock Product 24,Toys,4213.26,253
25,SKU-00025,Mock Product 25,Home & Garden,3831.09,196
26,SKU-00026,Mock Product 26,Books,511.61,722
27,SKU-00027,Mock Product 27,Books,3124.89,50
28,SKU-00028,Mock Product 28,Books,4654.11,32
29,SKU-00029,Mock Product 29,Toys,4104.81,732
30,SKU-00030,Mock Product 30,Electronics,2949.45,561
31,SKU-00031,Mock Product 31,Books,148.82,174
32,SKU-00032,Mock Product 32,Books,3938.64,378
33,SKU-00033,Mock Product 33,Sports,618.65,482
34,SKU-00034,Mock Product 34,Clothing,2908.0,153
35,SKU-00035,Mock Product 35,Electronics,1386.08,271
36,SKU-00036,Mock Product 36,Sports,1798.08,234
37,SKU-00037,Mock Product 37,Books,3285.39,162
38,SKU-00038,Mock Product 38,Groceries,3283.97,716
39,SKU-00039,Mock Product 39,Books,4972.54,336
40,SKU-00040,Mock Product 40,Sports,4750.28,578
41,SKU-00041,Mock Product 41,Toys,4483.86,380
42,SKU-00042,Mock Product 42,Sports,4975.48,899
